date,Table_lamp_business_electricity_sales(kWh)
2020/8/11,242017254
2020/8/12,242017254
2020/8/13,242017254
2020/8/14,242017254
2020/8/15,242017254
2020/8/16,242017254
2020/8/17,242017254
2020/8/18,242017254
2020/8/19,242017254
2020/8/20,242017254
2020/8/21,242017254
2020/8/22,242017254
2020/8/23,242017254
2020/8/24,242017254
2020/8/25,242017254
2020/8/26,242017254
2020/8/27,242017254
2020/8/28,242017254
2020/8/29,242017254
2020/8/30,242017254
2020/8/31,242017254
2020/9/1,281767094
2020/9/2,281767094
2020/9/3,281767094
2020/9/4,281767094
2020/9/5,281767094
2020/9/6,281767094
2020/9/7,281767094
2020/9/8,281767094
2020/9/9,281767094
2020/9/10,281767094
2020/9/11,281767094
2020/9/12,281767094
2020/9/13,281767094
2020/9/14,281767094
2020/9/15,281767094
2020/9/16,281767094
2020/9/17,281767094
2020/9/18,281767094
2020/9/19,281767094
2020/9/20,281767094
2020/9/21,281767094
2020/9/22,281767094
2020/9/23,281767094
2020/9/24,281767094
2020/9/25,281767094
2020/9/26,281767094
2020/9/27,281767094
2020/9/28,281767094
2020/9/29,281767094
2020/9/30,281767094
2020/10/1,241442449
2020/10/2,241442449
2020/10/3,241442449
2020/10/4,241442449
2020/10/5,241442449
2020/10/6,241442449
2020/10/7,241442449
2020/10/8,241442449
2020/10/9,241442449
2020/10/10,241442449
2020/10/11,241442449
2020/10/12,241442449
2020/10/13,241442449
2020/10/14,241442449
2020/10/15,241442449
2020/10/16,241442449
2020/10/17,241442449
2020/10/18,241442449
2020/10/19,241442449
2020/10/20,241442449
2020/10/21,241442449
2020/10/22,241442449
2020/10/23,241442449
2020/10/24,241442449
2020/10/25,241442449
2020/10/26,241442449
2020/10/27,241442449
2020/10/28,241442449
2020/10/29,241442449
2020/10/30,241442449
2020/10/31,241442449
2020/11/1,237042995
2020/11/2,237042995
2020/11/3,237042995
2020/11/4,237042995
2020/11/5,237042995
2020/11/6,237042995
2020/11/7,237042995
2020/11/8,237042995
2020/11/9,237042995
2020/11/10,237042995
2020/11/11,237042995
2020/11/12,237042995
2020/11/13,237042995
2020/11/14,237042995
2020/11/15,237042995
2020/11/16,237042995
2020/11/17,237042995
2020/11/18,237042995
2020/11/19,237042995
2020/11/20,237042995
2020/11/21,237042995
2020/11/22,237042995
2020/11/23,237042995
2020/11/24,237042995
2020/11/25,237042995
2020/11/26,237042995
2020/11/27,237042995
2020/11/28,237042995
2020/11/29,237042995
2020/11/30,237042995
2020/12/1,204417494
2020/12/2,204417494
2020/12/3,204417494
2020/12/4,204417494
2020/12/5,204417494
2020/12/6,204417494
2020/12/7,204417494
2020/12/8,204417494
2020/12/9,204417494
2020/12/10,204417494
2020/12/11,204417494
2020/12/12,204417494
2020/12/13,204417494
2020/12/14,204417494
2020/12/15,204417494
2020/12/16,204417494
2020/12/17,204417494
2020/12/18,204417494
2020/12/19,204417494
2020/12/20,204417494
2020/12/21,204417494
2020/12/22,204417494
2020/12/23,204417494
2020/12/24,204417494
2020/12/25,204417494
2020/12/26,204417494
2020/12/27,204417494
2020/12/28,204417494
2020/12/29,204417494
2020/12/30,204417494
2020/12/31,204417494
2021/1/1,227825302
2021/1/2,227825302
2021/1/3,227825302
2021/1/4,227825302
2021/1/5,227825302
2021/1/6,227825302
2021/1/7,227825302
2021/1/8,227825302
2021/1/9,227825302
2021/1/10,227825302
2021/1/11,227825302
2021/1/12,227825302
2021/1/13,227825302
2021/1/14,227825302
2021/1/15,227825302
2021/1/16,227825302
2021/1/17,227825302
2021/1/18,227825302
2021/1/19,227825302
2021/1/20,227825302
2021/1/21,227825302
2021/1/22,227825302
2021/1/23,227825302
2021/1/24,227825302
2021/1/25,227825302
2021/1/26,227825302
2021/1/27,227825302
2021/1/28,227825302
2021/1/29,227825302
2021/1/30,227825302
2021/1/31,227825302
2021/2/1,195348766
2021/2/2,195348766
2021/2/3,195348766
2021/2/4,195348766
2021/2/5,195348766
2021/2/6,195348766
2021/2/7,195348766
2021/2/8,195348766
2021/2/9,195348766
2021/2/10,195348766
